Sample ID,Replicate Number,Detection Date,Detection Time,User Name,Manual Dilution Factor,Auto Dilution Factor,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height

Cal Std 1000/3000 ug/l,1,9/29/2021,3:48:41 PM,PSSadmin,1,1,1000,ug P/L,1,20.2,0.704,3000,ug N/L,2,5.95,0.361
Cal Std 500/1500 ug/L,1,9/29/2021,3:49:58 PM,PSSadmin,1,1,500,ug P/L,1,10.8,0.376,1500,ug N/L,2,3.55,0.219
Cal Std 100/1000 ug/L,1,9/29/2021,3:51:16 PM,PSSadmin,1,1,100,ug P/L,1,2.33,0.081,1000,ug N/L,2,2.38,0.14
Cal Std 50/500 ug/L,1,9/29/2021,3:52:34 PM,PSSadmin,1,1,50,ug P/L,1,1.28,0.0439,500,ug N/L,2,1.42,0.0826
Cal Std 10/100 ug/L,1,9/29/2021,3:53:52 PM,PSSadmin,1,1,10,ug P/L,1,0.678,0.0239,100,ug N/L,2,0.8,0.0478
Cal Std 5/50 ug/L,1,9/29/2021,3:55:11 PM,PSSadmin,1,1,5,ug P/L,1,0.55,0.0195,50,ug N/L,2,0.585,0.0362
Cal Std 0 ug/L,1,9/29/2021,3:56:30 PM,PSSadmin,1,1,0,ug P/L,1,0.491,0.0178,0,ug N/L,2,0.504,0.0273
CCV Mid 50/500 ug/L,1,9/29/2021,3:57:49 PM,PSSadmin,1,1,41.3,ug P/L,1,1.27,0.0433,439,ug N/L,2,1.36,0.0807
CCV Low 10/100 ug/L,1,9/29/2021,3:59:07 PM,PSSadmin,1,1,11.7,ug P/L,1,0.681,0.024,124,ug N/L,2,0.781,0.0451
CCB ,1,9/29/2021,4:00:26 PM,PSSadmin,1,1,1.72,ug P/L,1,0.482,0.0176,-22.7,ug N/L,2,0.512,0.0276
method blank,1,9/29/2021,4:01:45 PM,PSSadmin,1,1,2.98,ug P/L,1,0.508,0.0183,-198,ug N/L,2,0.19,0.00834
method blank,1,9/29/2021,4:03:03 PM,PSSadmin,1,1,7.64,ug P/L,1,0.6,0.0216,-216,ug N/L,2,0.156,0.00885
LCS TP,1,9/29/2021,4:04:22 PM,PSSadmin,1,1,96.6,ug P/L,1,2.37,0.0787,-142,ug N/L,2,0.292,0.0167
LCS TN,1,9/29/2021,4:05:40 PM,PSSadmin,1,1,4.39,ug P/L,1,0.536,0.0201,-121,ug N/L,2,0.332,0.0197
