Sample ID,Replicate Number,Detection Date,Detection Time,User Name,Manual Dilution Factor,Auto Dilution Factor,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height

Cal Std 1000/3000 ug/l,1,11/15/2021,12:49:53 PM,PSSadmin,1,1,1000,ug P/L,1,16.3,0.613,3000,ug N/L,2,6.01,0.358
Cal Std 500/1500 ug/L,1,11/15/2021,12:51:10 PM,PSSadmin,1,1,500,ug P/L,1,7.46,0.277,1500,ug N/L,2,2.83,0.167
Cal Std 100/1000 ug/L,1,11/15/2021,12:52:28 PM,PSSadmin,1,1,100,ug P/L,1,1.48,0.0539,1000,ug N/L,2,1.9,0.111
Cal Std 50/500 ug/L,1,11/15/2021,12:53:45 PM,PSSadmin,1,1,50,ug P/L,1,0.835,0.0303,500,ug N/L,2,1.06,0.0614
Cal Std 10/100 ug/L,1,11/15/2021,12:55:03 PM,PSSadmin,1,1,10,ug P/L,1,0.208,0.00781,100,ug N/L,2,0.235,0.0124
Cal Std 5/50 ug/L,1,11/15/2021,12:56:22 PM,PSSadmin,1,1,5,ug P/L,1,0.127,0.00489,50,ug N/L,2,0.157,0.00653
Cal Std 0 ug/L,1,11/15/2021,12:57:41 PM,PSSadmin,1,1,0,ug P/L,1,0.0543,0.0021,0,ug N/L,2,-0.0347,0.00219
CCV Mid 50/500 ug/L,1,11/15/2021,12:58:59 PM,PSSadmin,1,1,54.7,ug P/L,1,0.832,0.0303,556,ug N/L,2,1.1,0.0612
CCV Low 10/100 ug/L,1,11/15/2021,1:00:18 PM,PSSadmin,1,1,13.3,ug P/L,1,0.164,0.00622,124,ug N/L,2,0.244,0.0131
CCB ,1,11/15/2021,1:01:37 PM,PSSadmin,1,1,-0.288,ug P/L,1,-0.0549,-0.00231,-21,ug N/L,2,-0.0431,-0.00274
method blank,1,11/15/2021,1:02:56 PM,PSSadmin,1,1,2.21,ug P/L,1,-0.0147,-0.00108,35.9,ug N/L,2,0.0694,0.00197
method blank,1,11/15/2021,1:04:14 PM,PSSadmin,1,1,-2.15,ug P/L,1,-0.085,-0.0027,28.1,ug N/L,2,0.054,0.00268
LCS TP,1,11/15/2021,1:05:33 PM,PSSadmin,1,1,91.7,ug P/L,1,1.43,0.0526,153,ug N/L,2,0.301,0.0139
LCS TN,1,11/15/2021,1:06:51 PM,PSSadmin,1,1,-9.13,ug P/L,1,-0.198,-0.00596,148,ug N/L,2,0.291,0.0132
84,1,11/15/2021,1:08:09 PM,PSSadmin,1,1,15.9,ug P/L,1,0.206,0.00741,574,ug N/L,2,1.13,0.062
85,1,11/15/2021,1:09:27 PM,PSSadmin,1,1,-0.314,ug P/L,1,-0.0553,-0.00285,361,ug N/L,2,0.712,0.0382
86,1,11/15/2021,1:10:45 PM,PSSadmin,1,1,21,ug P/L,1,0.288,0.00972,422,ug N/L,2,0.833,0.0455
87,1,11/15/2021,1:12:03 PM,PSSadmin,1,1,15.6,ug P/L,1,0.202,0.00719,755,ug N/L,2,1.49,0.0864
88,1,11/15/2021,1:13:20 PM,PSSadmin,1,1,26.5,ug P/L,1,0.376,0.0108,745,ug N/L,2,1.47,0.0847
89,1,11/15/2021,1:14:38 PM,PSSadmin,1,1,21.5,ug P/L,1,0.296,0.0106,760,ug N/L,2,1.5,0.0885
CCV Mid 50/500 ug/L,1,11/15/2021,1:15:56 PM,PSSadmin,1,1,48.4,ug P/L,1,0.729,0.0267,535,ug N/L,2,1.06,0.0598
CCV Low 10/100 ug/L,1,11/15/2021,1:17:15 PM,PSSadmin,1,1,11.2,ug P/L,1,0.13,0.00459,125,ug N/L,2,0.246,0.0139
CCB ,1,11/15/2021,1:18:34 PM,PSSadmin,1,1,0.243,ug P/L,1,-0.0463,-0.00208,-1.66,ug N/L,2,-0.00487,0.00126
90,1,11/15/2021,1:19:52 PM,PSSadmin,1,1,171,ug P/L,1,2.71,0.101,1530,ug N/L,2,3.02,0.179
91,1,11/15/2021,1:21:09 PM,PSSadmin,1,1,480,ug P/L,1,7.68,0.288,1860,ug N/L,2,3.69,0.218
92,1,11/15/2021,1:22:26 PM,PSSadmin,1,1,225,ug P/L,1,3.58,0.134,1710,ug N/L,2,3.38,0.201
